col1,FieldID,ra,dec,mtot_all,ntns,mtot,sfrtot,ngal,lum,BGLT_orig,mindist,selected
4141,4142,147.27274,-30.98052,3.66480890624E11,0.0,2.76436189184E11,13.373757362365723,4.0,2.3186435707379713E-4,false,11.4592,true
4174,4175,207.27274,-30.98052,8.85654213248E11,0.7394573986799585,7.65575102464E11,32.393341064453125,31.0,7.59954217349237E-5,true,51.2861,true
4177,4178,212.72728,-30.98052,9.56319626712125E11,1.478914797359917,3.65563609088E11,21.10946273803711,10.0,6.483904073216751E-5,false,49.4311,true
4271,4272,24.17911,-29.40667,3.44611659776E11,2.159805783874494,5.83540867072E11,33.729827880859375,6.0,1.3567795393473864E-4,false,25.7473,true
4319,4320,110.14926,-29.40667,3.35564217856E11,0.7199352612914981,3.12026628096E11,15.689081192016602,6.0,8.434942611220883E-5,false,31.0456,true
4370,4371,201.49254,-29.40667,3.91701628224E11,0.0,8.93980311552E11,84.05130004882812,21.0,4.014474136306337E-5,false,56.4582,true
4516,4517,100.58823,-27.83282,2.36785143424E11,0.0,1.96538597376E11,13.541793823242188,5.0,1.1255988673527623E-4,false,25.4919,true
4549,4550,158.82353,-27.83282,1.023667621504E12,1.401295133720857,1.556716191744E12,92.4070053100586,53.0,1.2620088064546213E-4,true,31.404,true
4550,4551,160.58824,-27.83282,3.87405568128E11,1.401295133720857,5.72558344192E11,35.12718200683594,12.0,6.158805735703577E-5,false,26.1818,true
4574,4575,202.94118,-27.83282,2.750541681408E12,0.7006475668604285,2.49738952704E12,132.80484008789062,45.0,3.419759888849753E-5,false,43.3444,true
4627,4628,296.47058,-27.83282,1.114116172288E12,0.0,5.26762115072E11,17.114484786987305,18.0,5.301945400503225E-5,false,71.1046,true
4661,4662,356.47058,-27.83282,3.085252513792E12,1.401295133720857,1.090170519552E12,47.16073226928711,41.0,2.7201893316284595E-5,true,97.7237,true
4749,4750,150.43478,-26.25896,3.65898918E10,0.0,3.6567887872E10,0.4071046710014343,1.0,7.538741032785658E-6,false,43.6259,true
4754,4755,159.13043,-26.25896,6.06411933312E11,0.6816860334470674,5.86910859264E11,50.2257080078125,29.0,4.1017745735394156E-5,false,39.0287,true
4857,4858,338.26086,-26.25896,6.83694277376E11,0.6816860334470674,3.08053311488E11,28.390613555908203,9.0,7.824815108195053E-5,false,17.3821,true
4877,4878,12.0,-24.68511,6.5614585856E10,1.9893954272842436,1.64725686272E11,13.962545394897461,3.0,0.0046373833901477484,false,3.5279,true
4989,4990,204.0,-24.68511,6.49085477376E11,1.3262636181894958,8.94777294848E11,71.4472885131836,20.0,2.640498076804266E-5,false,34.9635,true
5021,5022,258.85715,-24.68511,2.271800392704E12,0.0,1.383442153472E12,126.42003631591797,12.0,3.865228339765521E-5,true,104.9699,true
5067,5068,337.71429,-24.68511,1.594021094272E12,0.0,5.9889778688E11,35.038551330566406,23.0,3.823194127497607E-5,false,61.0183,true
5082,5083,4.24528,-23.11126,2.83917137024E11,0.0,1.19838670848E11,13.25446605682373,2.0,8.276078005936801E-6,false,90.1894,true
5093,5094,22.92453,-23.11126,2.75965184192E11,0.0,1.991131136E11,8.31760025024414,10.0,6.934961129179178E-5,false,19.1112,true
5106,5107,45.0,-23.11126,4.14248417216E11,0.0,5.36911937536E11,30.33257484436035,9.0,6.995994761477372E-5,false,20.3346,true
5231,5232,257.26416,-23.11126,3.846580711936E12,0.0,1.39569528832E12,86.15235137939453,36.0,3.6322823914661664E-5,true,96.4986,true
5232,5233,258.96228,-23.11126,3.384585366016E12,0.0,1.61427685376E12,113.19673156738281,33.0,4.949954312325666E-5,true,102.61,true
5267,5268,318.39624,-23.11126,1.879995136E12,0.0,1.28511705088E12,80.51646423339844,24.0,2.5130235107110438E-5,false,92.3485,true
5313,5314,35.3271,-21.53741,4.58941971264E11,0.0,1.89106601984E11,17.11618423461914,5.0,1.387642550628344E-4,false,17.9448,true
5324,5325,53.83178,-21.53741,1.17149355392E11,0.0,2.72059236352E11,30.938674926757812,8.0,8.29268313581849E-5,false,19.2474,true
5348,5349,94.2056,-21.53741,2.92964731648E11,1.2550278956243868,2.89018413056E11,23.676828384399414,6.0,1.560300849152187E-4,false,35.4813,true
5375,5376,139.62617,-21.53741,4.7752916992E10,0.0,5.7652109312E10,3.738801956176758,2.0,1.5346544092344728E-4,false,9.2431,true
5985,5986,71.18182,-16.81585,1.150754241024E12,1.735658658584864,9.31872571392E11,51.56126022338867,22.0,3.2668577890071326E-5,false,38.1833,true
6134,6135,315.0,-16.81585,9.05170598912E11,2.3142115447798184,8.38415548416E11,67.78321838378906,14.0,4.454626387648333E-5,false,19.6626,true
6187,6188,40.54054,-15.242,1.322506320384E12,0.0,6.59057672192E11,39.49748992919922,20.0,3.6534824156772185E-5,false,41.4954,true
6206,6207,71.35135,-15.242,1.242695376896E12,0.0,1.215760564224E12,74.07644653320312,23.0,2.2064071536375853E-5,false,126.3084,true
6408,6409,39.55157,-13.66814,9.79816175616E11,0.5492541788705156,8.1438113792E11,59.83134460449219,19.0,3.9240105235768515E-5,false,58.0764,true
6418,6419,55.69506,-13.66814,5.16404022016E11,0.0,3.8721224704E11,40.47681427001953,9.0,1.3972860916953766E-4,false,20.555,true
6426,6427,68.60986,-13.66814,5.039385958024E12,0.5492541788705156,1.754278395904E12,74.535400390625,71.0,3.277726475555234E-5,true,68.6128,true
6649,6650,67.2,-12.09428,2.400842226432E12,0.0,1.10828716032E12,70.34716796875,32.0,2.9869494910833098E-5,true,101.859,true
6837,6838,8.76106,-10.52043,6.17732585984E11,0.0,4.4991414272E11,15.94003677368164,12.0,5.0782655307507005E-5,false,56.1492,true
7063,7064,7.92952,-8.94658,3.04541019648E11,0.5105882894672955,4.16310198272E11,14.512639999389648,11.0,1.5279873332460413E-4,false,15.5467,true
7064,7065,9.51542,-8.94658,3.9555941248E11,0.0,2.42982076416E11,20.628631591796875,9.0,1.1910506145781687E-4,false,15.5467,true
7083,7084,39.64758,-8.94658,4.32830011904E11,0.0,4.58445324288E11,16.262422561645508,9.0,8.154885286886464E-5,false,9.256,true
7088,7089,47.57709,-8.94658,5.57987756032E11,0.0,6.15094616064E11,22.568458557128906,11.0,4.6842236673513595E-5,false,58.8783,true
7294,7295,15.0,-7.37273,9.1212432768E11,0.0,7.49791412224E11,42.910789489746094,14.0,8.985732711120216E-5,true,19.0631,true
7310,7311,40.26316,-7.37273,4.18061660032E11,0.0,5.138374656E11,19.11370277404785,14.0,7.225643636033143E-5,false,19.6587,true
7524,7525,17.36842,-5.79887,1.596477479936E12,0.4883426373407327,1.024563085312E12,52.39191436767578,17.0,3.0559549486303115E-5,false,81.1501,true
7548,7549,55.26316,-5.79887,3.80495412096E11,0.4883426373407327,6.09577598976E11,36.83525848388672,22.0,3.494692610881869E-5,false,56.3669,true
7559,7560,72.63158,-5.79887,5.42050258752E11,0.4883426373407327,4.58186620928E11,34.00780487060547,12.0,7.506106930221575E-5,false,36.2321,true
7776,7777,55.80786,-4.22502,4.2519136768E11,0.0,5.85376268288E11,24.210163116455078,19.0,9.066596141780377E-5,false,46.8939,true
