col1,FieldID,ra,dec,mtot_all,ntns,mtot,sfrtot,ngal,flux,mindist,BGLT_orig,score,selected
509,510,78.75,-70.32684,1.4295665152E11,0.0,2.85913317376E11,8.932731628417969,6.0,3.0064850281439412E-6,61.3735,false,-0.7923155010153309,true
559,560,303.75,-70.32684,5.5121087488E10,0.0,5.04688279552E11,14.1055908203125,9.0,4.400419003446255E-5,50.0205,false,2.7202433168875793,true
928,929,281.35919,-64.03143,2.2111653875220234E12,0.0,9.69286483968E11,6.456212997436523,20.0,2.319530431478878E-5,43.9956,false,3.002012334903723,true
930,931,288.34949,-64.03143,7.5598345216E10,0.0,1.91066243072E11,5.173362731933594,4.0,4.4106216787216207E-4,9.2016,false,4.096553466196651,true
970,971,62.75229,-62.45758,5.51335724544E11,0.0,3.97115817984E11,16.233667373657227,12.0,9.742583069998022E-5,12.7315,false,3.7289649721102798,true
979,980,92.47707,-62.45758,7.2444530176E11,0.9049566940952842,3.4773549056E11,21.970186233520508,7.0,1.2277017371132917E-4,19.262,false,3.4541772737624967,true
1029,1030,257.61469,-62.45758,1.13942864384E11,0.0,2.26577891328E11,4.369621276855469,7.0,9.382751269941471E-5,12.103,false,2.9762391198002813,true
1036,1037,280.73395,-62.45758,1.123350088192E12,1.8099133881905685,7.150338048E11,29.409486770629883,24.0,3.2068269431447454E-5,48.3671,false,3.3799378674380414,true
1137,1138,242.60869,-60.88372,1.96118803248E12,0.9049566940952842,1.05366552576E12,12.124560356140137,36.0,3.689578968463564E-5,44.0873,false,4.05274979748391,true
1138,1139,245.73912,-60.88372,1.739719718528E12,0.0,3.61545826304E11,7.267292022705078,25.0,2.062826975754699E-5,38.3205,false,2.640200374923646,true
1152,1153,289.56522,-60.88372,1.7194472624E11,0.0,6.94602039296E11,17.980684280395508,11.0,8.911890732681055E-5,49.5772,false,3.7994460569583577,true
1199,1200,72.0,-59.30987,6.528613888E10,0.0,1.84718180352E11,11.981208801269531,6.0,2.3932403214464135E-4,13.0022,false,3.7702779206111696,true
1259,1260,252.0,-59.30987,1.94293515264E11,0.0,2.0911529984E11,19.276012420654297,7.0,1.4891317052835175E-4,11.4912,false,3.442914664854877,true
1272,1273,291.0,-59.30987,3.92419552768E11,0.9049566940952842,4.17359101952E11,16.9334659576416,8.0,4.912005741402681E-5,53.3837,false,2.6548370276080266,true
1410,1411,332.64001,-57.73602,3.2446018750109375E11,0.0,3.62025713664E11,18.883010864257812,8.0,5.725004452482152E-5,18.4082,false,2.7593589642580003,true
1413,1414,341.28003,-57.73602,1.015414792192E12,0.0,9.49758328832E11,27.970020294189453,15.0,1.886505520868147E-5,134.1446,false,2.518940830126388,true
1672,1673,324.26468,-54.58831,3.0959749632E10,0.0,3.095974912E10,0.374110609292984,2.0,6.0619779740102215E-5,8.5974,false,0.5493933091811698,true
2055,2056,196.8,-49.86675,3.25047007744E11,0.0,8.3580051456E10,5.156575679779053,5.0,4.002883438516704E-4,3.604,false,3.8259750026109405,true
2259,2260,317.03226,-48.2929,1.04931700736E12,0.9049566940952842,5.27179251712E11,20.60987663269043,16.0,2.3871684348656935E-5,58.5439,false,2.5749059326943105,true
2279,2280,2.25,-46.71905,7.70848925696E11,0.0,8.5871067136E11,16.647945404052734,10.0,2.7420643133425718E-5,80.6277,false,2.5290409516638412,true
2286,2287,18.0,-46.71905,2.000760177216E12,0.0,8.8363401216E11,39.89896011352539,30.0,3.32138697109481E-5,80.5082,false,3.7038136277701685,true
2303,2304,56.25,-46.71905,8.5351561216E10,0.9049566940952842,9.3234716672E10,3.4538779258728027,4.0,9.656081528309007E-5,8.3176,false,2.1356999479125243,true
2349,2350,159.75,-46.71905,2.198384343104E12,1.8099133881905685,1.749824569344E12,35.6278076171875,34.0,2.7726343812935917E-5,35.0279,false,3.9131838549790547,true
